Geoffrey Chaucer
John Milton
William Wordsworth
Samuel Taylor Coleridge
Lord Byron
Percy Bysshe Shelley
John Keats
William Blake
Alfred Tennyson
Robert Browning
Elizabeth Barrett Browning
Matthew Arnold
Gerard Manley Hopkins
William Butler Yeats
T.S. Eliot
Dylan Thomas
Philip Larkin
Ted Hughes
Seamus Heaney
Jane Austen
Charlotte Brontë
Emily Brontë
Anne Brontë
Charles Dickens
George Eliot
Thomas Hardy
Oscar Wilde
Virginia Woolf
James Joyce
D.H. Lawrence
E.M. Forster
Joseph Conrad
George Orwell
Aldous Huxley
Graham Greene
Evelyn Waugh
Anthony Trollope
Walter Scott
Daniel Defoe
Jonathan Swift
Samuel Richardson
Henry Fielding
Tobias Smollett
Laurence Sterne
Christopher Marlowe
Ben Jonson
John Webster
Thomas Kyd
John Donne
Andrew Marvell
Alexander Pope
Samuel Johnson
Oliver Goldsmith
Edmund Spenser
Philip Sidney
Thomas Wyatt
Henry Howard
Robert Herrick
George Herbert
Richard Crashaw
Henry Vaughan
Thomas Traherne
John Dryden
Aphra Behn
William Congreve
Richard Sheridan
Restoration dramatists
John Gay
Robert Burns
William Cowper
Thomas Gray
William Collins
Oliver Goldsmith
Edward Gibbon
David Hume
John Stuart Mill
Thomas Carlyle
John Ruskin
Walter Pater
Matthew Arnold
Cardinal Newman
Thomas Babington Macaulay
Francis Bacon
Thomas Hobbes
John Locke
George Berkeley
Jeremy Bentham
Adam Smith
Edmund Burke
Thomas Paine
Mary Wollstonecraft
William Godwin
Samuel Pepys
John Evelyn
James Boswell
Izaak Walton
Thomas Browne
Robert Burton
Arthur Conan Doyle
H.G. Wells
Robert Louis Stevenson
Rudyard Kipling
Lewis Carroll
Kenneth Grahame
J.M. Barrie
P.G. Wodehouse
